Area Type,Area Name,Date,Year,Month,Seasonally Adjusted,Status,Labor Force,Employment,Unemployment,Unemployment Rate,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1990,1990,January,Y,Final,"1,377,778","1,337,186","40,592",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1990,1990,February,Y,Final,"1,378,046","1,337,724","40,322",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1990,1990,March,Y,Final,"1,378,209","1,337,968","40,241",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1990,1990,April,Y,Final,"1,356,115","1,314,817","41,298",3.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1990,1990,May,Y,Final,"1,354,191","1,311,210","42,981",3.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1990,1990,June,Y,Final,"1,351,608","1,306,478","45,130",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1990,1990,July,Y,Final,"1,348,483","1,300,953","47,530",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1990,1990,August,Y,Final,"1,345,500","1,295,615","49,885",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1990,1990,September,Y,Final,"1,342,580","1,290,318","52,262",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1990,1990,October,Y,Final,"1,339,750","1,284,957","54,793",4.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1990,1990,November,Y,Final,"1,337,092","1,279,645","57,447",4.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1990,1990,December,Y,Final,"1,334,537","1,274,463","60,074",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1991,1991,January,Y,Final,"1,332,006","1,269,378","62,628",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1991,1991,February,Y,Final,"1,329,557","1,264,517","65,040",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1991,1991,March,Y,Final,"1,327,056","1,259,886","67,170",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1991,1991,April,Y,Final,"1,324,536","1,255,698","68,838",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1991,1991,May,Y,Final,"1,322,326","1,252,268","70,058",5.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1991,1991,June,Y,Final,"1,320,497","1,249,569","70,928",5.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1991,1991,July,Y,Final,"1,318,824","1,247,304","71,520",5.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1991,1991,August,Y,Final,"1,317,161","1,245,119","72,042",5.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1991,1991,September,Y,Final,"1,315,417","1,242,738","72,679",5.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1991,1991,October,Y,Final,"1,313,829","1,240,251","73,578",5.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1991,1991,November,Y,Final,"1,312,616","1,237,687","74,929",5.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1991,1991,December,Y,Final,"1,311,756","1,234,990","76,766",5.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1992,1992,January,Y,Final,"1,328,871","1,249,909","78,962",5.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1992,1992,February,Y,Final,"1,328,773","1,247,449","81,324",6.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1992,1992,March,Y,Final,"1,329,000","1,245,323","83,677",6.3%,,
