Area Name,Year,Month,Labor Force,Employment,Unemployment,Unemployment Rate,County,Region
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,January,"1,580,191","1,503,106","77,085",4.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,February,"1,580,927","1,505,372","75,555",4.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,March,"1,581,820","1,507,552","74,268",4.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,April,"1,582,904","1,509,831","73,073",4.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,May,"1,583,959","1,512,078","71,881",4.5%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,June,"1,584,626","1,513,949","70,677",4.5%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,July,"1,584,751","1,515,113","69,638",4.4%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,August,"1,584,724","1,515,874","68,850",4.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,September,"1,585,386","1,517,204","68,182",4.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,October,"1,587,828","1,520,220","67,608",4.3%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,November,"1,592,259","1,525,053","67,206",4.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2015,December,"1,597,805","1,530,919","66,886",4.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,January,"1,603,248","1,536,635","66,613",4.2%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,February,"1,607,619","1,541,156","66,463",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,March,"1,610,295","1,543,957","66,338",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,April,"1,611,237","1,544,996","66,241",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,May,"1,611,163","1,544,969","66,194",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,June,"1,611,027","1,544,949","66,078",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,July,"1,611,713","1,545,973","65,740",4.1%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,August,"1,613,339","1,548,077","65,262",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,September,"1,615,353","1,550,526","64,827",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,October,"1,617,166","1,552,837","64,329",4.0%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,November,"1,618,388","1,554,775","63,613",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2016,December,"1,618,971","1,556,291","62,680",3.9%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,January,"1,618,951","1,557,295","61,656",3.8%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,February,"1,618,680","1,558,068","60,612",3.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,March,"1,618,522","1,558,800","59,722",3.7%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,April,"1,619,043","1,559,986","59,057",3.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,May,"1,620,341","1,561,869","58,472",3.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,June,"1,622,102","1,564,246","57,856",3.6%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,July,"1,623,944","1,566,756","57,188",3.5%,Orange County,Southern California
"Anaheim-Santa Ana-Irvine, CA Met Div",2017,August,"1,625,312","1,569,005","56,307",3.5%,Orange County,Southern California
