#,Image,Name,Description,Common Locations,Recoverable Materials
001,https://www.zeldadungeon.net/wiki/images/thumb/c/cb/Hyrule-Compendium-Horse.png/72px-Hyrule-Compendium-Horse.png,Horse,"These can most often be found on plains. Their usefulness as transportation has made them valuable since ancient times. That said, wild horses do tend to get spooked and run off when approached, so if you're looking to snag one, it's best to sneak up on it.","Hyrule Field,Faron Grasslands",None
002,https://www.zeldadungeon.net/wiki/images/thumb/c/c9/Hyrule-Compendium-Giant-Horse.png/72px-Hyrule-Compendium-Giant-Horse.png,Giant Horse,"This giant horse is the last of its kind. Its physical capabilities completely overshadow those of regular horses, but its temperament is extremely wild. Only a truly skilled rider can train, or even catch, this beast of a mount. This is a horse that chooses its rider.",Unknown,None
003,https://www.zeldadungeon.net/wiki/images/thumb/5/56/Hyrule-Compendium-White-Horse.png/72px-Hyrule-Compendium-White-Horse.png,White Horse,The Hyrulean royal family that perished 100 years ago would sometimes ride atop white horses as a display of their divine right. This white horse may be a descendant of one once ridden by royalty.,Unknown,Unknown
004,https://www.zeldadungeon.net/wiki/images/thumb/8/8e/Hyrule-Compendium-Lord-of-the-Mountain.png/72px-Hyrule-Compendium-Lord-of-the-Mountain.png,Lord of the Mountain,"This noble creature watches over all animals that make their homes in the forest. Legends say this holy creature is a reincarnation of a sage that died on the lands it now protects. It has an acute awareness of its surroundings, so it seldom appears before people. It's sometimes known by its other name, Satori",Satori Mountain,Unknown
005,https://www.zeldadungeon.net/wiki/images/thumb/d/d1/Hyrule-Compendium-Stalhorse.png/72px-Hyrule-Compendium-Stalhorse.png,Stalhorse,"This skeletal horse is ridden by monsters. It was once a regular horse, but Ganon's power revived it from death. It cannot maintain its bone structure in the daytime.","Hebra Mountains,Akkala Highlands",None
006,https://www.zeldadungeon.net/wiki/images/thumb/0/05/Hyrule-Compendium-Donkey.png/72px-Hyrule-Compendium-Donkey.png,Donkey,"Smaller than horses, these are raised as livestock in the countryside, so they don't exist in the wild. They're more powerful than they look and specialize in transporting baggage. This has made them popular with traveling merchants.",GreaterHyrule,None
007,https://www.zeldadungeon.net/wiki/images/thumb/b/b4/Hyrule-Compendium-Sand-Seal.png/72px-Hyrule-Compendium-Sand-Seal.png,Sand Seal,"These seals use their large flippers to move through the sand as if swimming. They were once wild animals but have since been domesticated by the Gerudo. They rely on their excellent hearing to find their way while riding submerged in the sand.Their large, distinct tusks look pretty ferocious, but their favorite food is actually fruit.",Gerudo Desert,None
008,https://www.zeldadungeon.net/wiki/images/thumb/7/7a/Hyrule-Compendium-Patricia.png/72px-Hyrule-Compendium-Patricia.png,Patricia,"This is Riju's own sand seal. It may look intense, but she dotes on it regularly; the ribbon it wears was a gift form her, and it even has its own pen in Gerudo Town. It's far more agile than any other sand seal and far more outgoing. An ever-reliable partner to Riju, Patricia is always ready to take off through the desert at a moment's notice.",Gerudo Desert,None
009,https://www.zeldadungeon.net/wiki/images/thumb/c/c7/Hyrule-Compendium-Bushy-Tailed-Squirrel.png/72px-Hyrule-Compendium-Bushy-Tailed-Squirrel.png,Bushy-Tailed Squirrel,These small creatures are known for their large tails. They tend to live in forests and subsist on acorns and other nuts. They carry their food in their mouths but will sometimes drop it when surprised in an adorable display of shock.,"Hyrule Field,Hyrule Ridge",Acorn
010,https://www.zeldadungeon.net/wiki/images/thumb/f/f6/Hyrule-Compendium-Woodland-Boar.png/72px-Hyrule-Compendium-Woodland-Boar.png,Woodland Boar,"These medium-sized beasts can be found all throughout Hyrule. you can most often find them foraging for food in forests or meadows. Although usually docile, they won't hesitate to charge you full force if you get too close.","Hyrule Field,Lanayru Great Spring",Raw Meat
011,https://www.zeldadungeon.net/wiki/images/thumb/5/5a/Hyrule-Compendium-Red-Tusked-Boar.png/72px-Hyrule-Compendium-Red-Tusked-Boar.png,Red-Tusked Boar,These boars are known for their red tusks and black fur. They're similar to your average boars but are considerably stronger. Extra caution is advised when hunting these.,"Akkala Highlands,Deep Akkala",Raw Prime Meat
012,https://www.zeldadungeon.net/wiki/images/thumb/8/85/Hyrule-Compendium-Mountain-Goat.png/72px-Hyrule-Compendium-Mountain-Goat.png,Mountain Goat,"These herbivores make their home in meadows and rocky areas. Their characteristically strong legs and hooves facilitate easy climbing over rocks. Goats aren't very quick, so they make good targets for beginning hunters.","Hyrule Ridge,Great Hyrule Forest",Raw Meat
013,https://www.zeldadungeon.net/wiki/images/thumb/a/a3/Hyrule-Compendium-White-Goat.png/72px-Hyrule-Compendium-White-Goat.png,White Goat,"These goats are raised for their multiple uses. Their milk can be drank or made into butter, and their soft fur is used to make clothes. Domesticated goats wear bells around their necks so they can easily be found after being let out to graze.","West Necluda,Eldin Canyon",None
014,https://www.zeldadungeon.net/wiki/images/thumb/c/c2/Hyrule-Compendium-Mountain-Buck.png/72px-Hyrule-Compendium-Mountain-Buck.png,Mountain Buck,"These male deer are usually found deep in the forest. They're well known for their huge, branching antlers, which they'll swing in self-defense if threatened. Deer are cautious by nature so it can be tricky getting close, but if you can capture one, you may be able to take it for a ride.","Hyrule Field,Lanayru Great Spring",Raw Prime Meat
015,https://www.zeldadungeon.net/wiki/images/thumb/4/47/Hyrule-Compendium-Mountain-Doe.png/72px-Hyrule-Compendium-Mountain-Doe.png,Mountain Doe,"These female deer are often found alongside a male. They're very timid animals by nature, but they tend to let their guard down when eating apples, a favorite food. This tidbit of information can be useful to hunters.","Hyrule Field,Lanayru Great Spring",Raw Prime Meat
016,https://www.zeldadungeon.net/wiki/images/thumb/b/b0/Hyrule-Compendium-Water-Buffalo.png/72px-Hyrule-Compendium-Water-Buffalo.png,Water Buffalo,"These wild cows come equipped with big, strong horns. They live off grass that grows near the waterfront. Their meat is considered to be high quality, so they're a common target among hunters. Fun Fact: the domesticated Hateno cow, often raised in villages, was bred through selective breeding using these.","Lanayru Wetlands,Akkala Highlands","Raw Prime Meat,Raw Gourmet Meat"
017,https://www.zeldadungeon.net/wiki/images/thumb/7/78/Hyrule-Compendium-Hateno-Cow.png/72px-Hyrule-Compendium-Hateno-Cow.png,Hateno Cow,"Originating in Hateno Village, these cows are kept as livestock primarily for their milk. Their horns are smaller than a water buffalo's, and they're much more docile and therefore easier to raise. Their horns are decorated with bright colors when taken out to pasture.","East Necluda,Faron Grasslands",None
