#,Image,Name,Description,Common Locations,Hearts Recovered,Cooking Effects
165,https://www.zeldadungeon.net/wiki/images/thumb/d/d9/Hyrule-Compendium-Apple.png/72px-Hyrule-Compendium-Apple.png,Apple,"A common fruit found on trees all around Hyrule. Eat it fresh, or cook it to increase its effect.","Hyrule Field,East Necluda",½ heart,None
166,https://www.zeldadungeon.net/wiki/images/thumb/7/72/Hyrule-Compendium-Palm-Fruit.png/72px-Hyrule-Compendium-Palm-Fruit.png,Palm Fruit,Fruit from palm trees that grow near the ocean. It doesn't offer any special effects but will increase your heart recovery when used as an ingredient.,"East Necluda,Gerudo Desert",1 heart,None
167,https://www.zeldadungeon.net/wiki/images/thumb/e/ef/Hyrule-Compendium-Wildberry.png/72px-Hyrule-Compendium-Wildberry.png,Wildberry,"A fruit that grows in cold, snowy regions known for its tangy, sweet flavor. It doesn't offer any special effects, but it's a popular cooking ingredient.","Gerudo Highlands,Hebra Mountains",½ heart,None
168,https://www.zeldadungeon.net/wiki/images/thumb/e/e4/Hyrule-Compendium-Hearty-Durian.png/72px-Hyrule-Compendium-Hearty-Durian.png,Hearty Durian,"This fruit's mighty odor has earned it the nickname ""king of fruits."" It offers immense restorative powers; dishes cooked with it will temporarily increase your maximum hearts.","West Necluda,Faron Grasslands",3 hearts,Extra Hearts
169,https://www.zeldadungeon.net/wiki/images/thumb/4/47/Hyrule-Compendium-Hydromelon.png/72px-Hyrule-Compendium-Hydromelon.png,Hydromelon,"This resilient fruit can flourish even in the heat of the desert. The hydrating liquid inside provides a cooling effect that, when cooked, increases your heat resistance.","Gerudo Desert,Faron Grasslands",½ heart,Heat Resistance
170,https://www.zeldadungeon.net/wiki/images/thumb/0/0e/Hyrule-Compendium-Spicy-Pepper.png/72px-Hyrule-Compendium-Spicy-Pepper.png,Spicy Pepper,This pepper is exploding with spice. Cook with it to create dishes that will raise your body temperature and help you withstand the cold.,"Gerudo Desert,Tabantha Frontier",½ heart,Cold Resistance
171,https://www.zeldadungeon.net/wiki/images/thumb/9/96/Hyrule-Compendium-Voltfruit.png/72px-Hyrule-Compendium-Voltfruit.png,Voltfruit,"Cacti found in the Gerudo Desert bear this sweet fruit. It's naturally insulated, so when cooked into a dish, it provides resistance against electricity.","Gerudo Desert,Gerudo Highlands",½ heart,Shock Resistance
172,https://www.zeldadungeon.net/wiki/images/thumb/5/54/Hyrule-Compendium-Fleet-Lotus-Seeds.png/72px-Hyrule-Compendium-Fleet-Lotus-Seeds.png,Fleet-Lotus Seeds,"The plant that bears these seeds grows near deep water. The roots draw nutrients from the water, which boosts your movement speed when the seeds are cooked into a dish.","Lanayru Wetlands,Lanayru Great Spring",½ heart,Speed Up
173,https://www.zeldadungeon.net/wiki/images/thumb/9/94/Hyrule-Compendium-Mighty-Bananas.png/72px-Hyrule-Compendium-Mighty-Bananas.png,Mighty Bananas,"This fruit grows mainly in tropical forests of the Faron region. When it's used as an ingredient, the resulting dish will temporarily increase your attack power.",Faron,½ heart,Attack Up
174,https://www.zeldadungeon.net/wiki/images/thumb/2/27/Hyrule-Compendium-Hylian-Shroom.png/72px-Hyrule-Compendium-Hylian-Shroom.png,Hylian Shroom,A common mushroom found near trees around Hyrule. Eat it to restore half a heart.,"Hyrule Field,West Necluda",½ heart,None
