#,Image,Name,Description,Common Location,Properties
201,https://www.zeldadungeon.net/wiki/images/thumb/4/4b/Hyrule-Compendium-Master-Sword.png/72px-Hyrule-Compendium-Master-Sword.png,Master Sword,The legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself can wield it.,Unknown,30 Attack
202,https://www.zeldadungeon.net/wiki/images/thumb/9/97/Hyrule-Compendium-Tree-Branch.png/72px-Hyrule-Compendium-Tree-Branch.png,Tree Branch,"Wooden branches such as this are pretty common, but it's surprisingly well-balanced. It doesn't do much damage, but can serve as a weapon in a pinch.","Hyrule Field,West Necluda",2 Attack
203,https://www.zeldadungeon.net/wiki/images/thumb/9/9d/Hyrule-Compendium-Torch.png/72px-Hyrule-Compendium-Torch.png,Torch,"This torch will stay lit once ignited, but if you put it away, the flame will be extinguished until you light it again.","Great Hyrule Forest,Hyrule Field",2 Attack
204,https://www.zeldadungeon.net/wiki/images/thumb/9/90/Hyrule-Compendium-Soup-Ladle.png/72px-Hyrule-Compendium-Soup-Ladle.png,Soup Ladle,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.","Hyrule Field,Tabantha Frontier",4 Attack
205,https://www.zeldadungeon.net/wiki/images/thumb/0/00/Hyrule-Compendium-Boomerang.png/72px-Hyrule-Compendium-Boomerang.png,Boomerang,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,"West Necluda,Faron Grasslands",8 Attack
206,https://www.zeldadungeon.net/wiki/images/thumb/a/a6/Hyrule-Compendium-Spring-Loaded-Hammer.png/72px-Hyrule-Compendium-Spring-Loaded-Hammer.png,Spring-Loaded Hammer,"This strange hammer is one of Kilton's specialities. Being struck by it doesn't hurt much, but the fourth swing in a string of attacks will send the victim flying.",Unknown,1 Attack
207,https://www.zeldadungeon.net/wiki/images/thumb/b/bd/Hyrule-Compendium-Travelers-Sword.png/72px-Hyrule-Compendium-Travelers-Sword.png,Traveler's Sword,"A very common sword often kept by travelers to fend off small beasts. It's fairly durable, but a bit unreliable against monsters.","Hyrule Field,West Necluda",5 Attack
208,https://www.zeldadungeon.net/wiki/images/thumb/4/48/Hyrule-Compendium-Soldiers-Broadsword.png/72px-Hyrule-Compendium-Soldiers-Broadsword.png,Soldier's Broadsword,A sword brandished by the soldiers who once protected Hyrule Castle. Its durable blade is well tuned for slaying monsters.,"Hyrule Field,Faron Grasslands",14 Attack
209,https://www.zeldadungeon.net/wiki/images/thumb/e/ef/Hyrule-Compendium-Knights-Broadsword.png/72px-Hyrule-Compendium-Knights-Broadsword.png,Knight's Broadsword,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,"Gerudo Desert,Tabantha Frontier",26 Attack
210,https://www.zeldadungeon.net/wiki/images/thumb/f/fc/Hyrule-Compendium-Royal-Broadsword.png/72px-Hyrule-Compendium-Royal-Broadsword.png,Royal Broadsword,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.,"Tabantha Frontier,Akkala Highlands",36 Attack
211,https://www.zeldadungeon.net/wiki/images/thumb/b/bb/Hyrule-Compendium-Forest-Dweller%27s-Sword.png/72px-Hyrule-Compendium-Forest-Dweller%27s-Sword.png,Forest Dweller's Sword,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.","Great Hyrule Forest,Hyrule Field",22 Attack
212,https://www.zeldadungeon.net/wiki/images/thumb/b/b8/Hyrule-Compendium-Zora-Sword.png/72px-Hyrule-Compendium-Zora-Sword.png,Zora Sword,The ornamentation that adorns this blade is a traditional Zora design. It's forged from a very durable and rust-proof metal.,"Lanayru Great Spring,East Necluda",15 Attack
213,https://www.zeldadungeon.net/wiki/images/thumb/2/2f/Hyrule-Compendium-Feathered-Edge.png/72px-Hyrule-Compendium-Feathered-Edge.png,Feathered Edge,"Rito craftsmen forged this lightweight, double-edged sword so Rito warriors could soar into battle unhindered by its weight.","Tabantha Frontier,Hyrule Field",15 Attack
214,https://www.zeldadungeon.net/wiki/images/thumb/5/58/Hyrule-Compendium-Gerudo-Scimitar.png/72px-Hyrule-Compendium-Gerudo-Scimitar.png,Gerudo Scimitar,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.","Gerudo Highlands,Gerudo Desert",16 Attack
215,https://www.zeldadungeon.net/wiki/images/thumb/8/83/Hyrule-Compendium-Moonlight-Scimitar.png/72px-Hyrule-Compendium-Moonlight-Scimitar.png,Moonlight Scimitar,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.,"Gerudo Highlands,Gerudo Desert",25 Attack
216,https://www.zeldadungeon.net/wiki/images/thumb/f/fb/Hyrule-Compendium-Scimitar-of-the-Seven.png/72px-Hyrule-Compendium-Scimitar-of-the-Seven.png,Scimitar of the Seven,"A famous sword once beloved by the Gerudo Champion Urbosa. It is said that when Urbosa swung this sword in battle, her movements resembled a beautiful dance.",Gerudo Town,32 Attack
217,https://www.zeldadungeon.net/wiki/images/thumb/6/67/Hyrule-Compendium-Eightfold-Blade.png/72px-Hyrule-Compendium-Eightfold-Blade.png,Eightfold Blade,"A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology, it's said to be among the sharpest conventional weapons ever made.","West Necluda,Lake Hylia",15 Attack
218,https://www.zeldadungeon.net/wiki/images/thumb/6/64/Hyrule-Compendium-Ancient-Short-Sword.png/72px-Hyrule-Compendium-Ancient-Short-Sword.png,Ancient Short Sword,"The blade of this ancient sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",Unknown,40 Attack
