Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81383247250,14801,2025-09-12
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17325735577,5264,2025-09-12
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3899528364,5949,2025-09-12
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2919,2025-09-12
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112268373298,940,2025-09-12
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3423816491,305,2025-09-12
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-12
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116049587160,982,2025-09-12
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71000000,14145608398,227,2025-09-12
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1703,2025-09-12
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118920266392,1420,2025-09-12
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98800000,39962585446,636,2025-09-12
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18763183062,12819,2025-09-12
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17655164805,30880,2025-09-12
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25593862684,390,2025-09-12
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29402910722,4648,2025-09-12
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19626027207,510,2025-09-12
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311554100198,24334,2025-09-12
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,434000000,94737093224,898,2025-09-12
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1094,2025-09-12
